feature_id,name,category,aliases,first_seen_year,description,difficulty,default_rarity
FEAT-0091,Fraud Detection,Application,"Credit Card Fraud, Financial Fraud",2005,Automated system detecting illicit financial transactions.,Intermediate,0.25
FEAT-0092,Predictive Maintenance,Application,"PdM, Condition Monitoring",2010,Techniques predicting equipment failure to schedule maintenance.,Intermediate,0.3
FEAT-0093,Medical Diagnosis,Application,"Clinical Decision Support, Radiology AI",2015,AI-assisted clinical decision support for diagnosing patient illnesses.,Advanced,0.35
FEAT-0094,Smart Agriculture,Application,"Precision Agriculture, Smart Farming",2015,Using modern technology and IoT to increase quantity and quality of agricultural products.,Intermediate,0.35
FEAT-0095,Raspberry Pi,Hardware,"Raspberry Pi 4, RPi 5",2012,Small single-board computers for IoT and embedded prototypes.,Beginner,0.2
FEAT-0096,ESP32,Hardware,"ESP32-CAM, ESP8266",2016,"Low-cost, low-power system on a chip microcontrollers with integrated Wi-Fi and dual-mode Bluetooth.",Beginner,0.2
FEAT-0097,NVIDIA Jetson,Hardware,"Jetson Nano, Jetson Orin",2019,Leading platform for AI at the edge.,Intermediate,0.4
FEAT-0098,LiDAR Sensor,Hardware,"LiDAR, 3D LiDAR",2005,Method for determining ranges by targeting an object with a laser.,Advanced,0.45
FEAT-0099,STM32,Hardware,STM32 Microcontroller,2007,32-bit Flash microcontrollers based on ARM Cortex-M processor.,Intermediate,0.35
,Convolutional Neural Network,Algorithm,"CNN, ConvNet, Conv2D",1989,Deep neural network architecture using convolutional layers for spatial feature extraction.,,
,Graph Neural Network,Algorithm,"GNN, Graph Net",2009,Neural network that operates on graph-structured data via message passing.,,
,Heterogeneous Graph Neural Network,Algorithm,"HetGNN, HGNN, Heterogeneous GNN",2019,GNN variant that handles graphs with multiple node/edge types.,,
,Graph Transformer,Algorithm,"GT, Graphormer",2020,Transformer architecture adapted for graph-structured inputs.,,
,Transformer,Algorithm,"Attention Mechanism, Multi-Head Attention, Self-Attention",2017,"Self-attention based sequence model (Vaswani et al., Attention Is All You Need).",,
,Federated Learning,Algorithm,"FL, Federated ML, FedAvg, FedProx",2016,Distributed ML training where data never leaves the client device.,,
,Transfer Learning,Algorithm,"Fine-tuning, Domain Adaptation, Pre-trained Model",1993,Reusing a model trained on one task as a starting point for another.,,
,Reinforcement Learning,Algorithm,"RL, Deep RL, Model-Free RL",1992,Learning by interaction with an environment to maximize cumulative reward.,,
,Generative Adversarial Network,Algorithm,"GAN, cGAN, DCGAN, StyleGAN, CycleGAN",2014,Generator–discriminator framework for synthesizing realistic data.,,
,Variational Autoencoder,Algorithm,"VAE, VQ-VAE",2013,Generative latent variable model that learns a structured embedding space.,,
,Anomaly Detection,Algorithm,"Outlier Detection, Novelty Detection, One-Class Classification",1980,Identifies data points significantly different from the expected distribution.,,
,Logistic Regression,Algorithm,"LR, Logit Regression",1958,Linear model for binary or multiclass classification using sigmoid output.,,
,Decision Tree,Algorithm,"DT, Classification Tree, Regression Tree, CART",1986,Hierarchical rule-based classifier splitting data on feature thresholds.,,
,Naive Bayes,Algorithm,"NB, Gaussian Naive Bayes, Multinomial NB",1960,Probabilistic classifier based on Bayes theorem with feature independence assumption.,,
,K-Nearest Neighbor,Algorithm,"KNN, k-NN, kNN",1967,Instance-based learning classifying by majority vote of k nearest neighbors.,,
,Gradient Descent,Algorithm,"SGD, Adam, AdaGrad, RMSProp, AdamW",1847,Iterative optimization algorithm minimizing a loss function.,,
,SMOTE,Algorithm,"Synthetic Minority Oversampling Technique, ADASYN",2002,Oversampling technique to handle class imbalance via synthetic sample generation.,,
,Neural Architecture Search,Algorithm,"NAS, AutoML, Efficient NAS, DARTS",2016,Automated search for optimal neural network architectures.,,
,EfficientNet,Algorithm,"EfficientNetV2, EfficientDet",2019,Compound-scaled CNN family achieving high accuracy with fewer parameters.,,
,MobileNet,Algorithm,"MobileNetV2, MobileNetV3, MobileViT",2017,Lightweight depthwise-separable CNN optimized for mobile/edge deployment.,,
,FaceNet,Algorithm,"Face Embedding, ArcFace, CosFace",2015,Deep embedding model for face recognition using triplet loss.,,
,DeepFace,Algorithm,"Face Verification, InsightFace",2014,Deep learning based face identification system (Meta).,,
,Named Entity Recognition,Algorithm,"NER, Entity Extraction, Information Extraction",1996,"NLP task identifying named entities (persons, organizations, etc.) in text.",,
,Text Classification,Algorithm,"Document Classification, Sentiment Classification",1992,Categorizing text into predefined classes.,,
,Object Detection,Algorithm,"Bounding Box Detection, Faster R-CNN, SSD",2001,Localizing and classifying multiple objects within an image.,,
,Semantic Segmentation,Algorithm,"Pixel Classification, Scene Parsing",2015,Assigning a class label to every pixel in an image.,,
,Action Recognition,Algorithm,"Activity Recognition, Gesture Recognition, Video Classification",2001,Classifying human actions or activities from video sequences.,,
,Pose Estimation,Algorithm,"Human Pose Estimation, Skeleton Detection, OpenPose, HRNet",2014,Detecting and localizing body keypoints for human pose analysis.,,
,Optical Flow,Algorithm,"Dense Optical Flow, FlowNet, RAFT",1981,Estimating per-pixel motion between consecutive video frames.,,
,Causal Inference,Algorithm,"Causal AI, Do-Calculus, Structural Causal Model",2000,Reasoning about cause-effect relationships beyond correlation.,,
,Counterfactual Explanation,Algorithm,"Counterfactual AI, Contrastive Explanation, DiCE",2017,Explaining model decisions by describing minimal input changes to flip the outcome.,,
,Quantum Machine Learning,Algorithm,"QML, Quantum Deep Learning, Quantum Neural Network",2014,Applying quantum computing to accelerate or enhance ML algorithms.,,
,Variational Quantum Circuit,Algorithm,"VQC, Quantum Variational Eigensolver, QAOA",2014,Parameterized quantum circuit trained with classical optimization.,,
,Recurrent Neural Network,Algorithm,"RNN, Sequence Model, Encoder-Decoder",1986,Neural network with temporal feedback connections for sequential data.,,
,Grad-CAM,Algorithm,"Gradient-weighted Class Activation Map, GradCAM, Grad-CAM++",2016,Visual explanation technique highlighting image regions driving CNN predictions.,,
,Sentence-BERT,Algorithm,"SBERT, Sentence Transformers, all-MiniLM-L6-v2",2019,BERT variant producing semantically meaningful sentence embeddings.,,
,Word2Vec,Algorithm,"Word Embeddings, GloVe, FastText",2013,Shallow neural network producing dense word vector representations.,,
,Bayesian Optimization,Algorithm,"Hyperparameter Optimization, Optuna, Hyperopt",1998,Probabilistic black-box optimization for hyperparameter tuning.,,
,Mean Shift,Algorithm,"Mean Shift Clustering, Bandwidth Estimation",1995,Non-parametric clustering algorithm seeking density mode.,,
,Phishing Detection,Application,"Scam Website Detection, Malicious URL Detection, Blacklist-free Detection",2004,Classifying URLs or emails as phishing/legitimate using ML features.,,
,Network Intrusion Detection,Application,"IDS, NIDS, Intrusion Prevention System, IPS, Intrusion Detection",1987,Monitoring network traffic to identify malicious activity.,,
,Landslide Detection,Application,"Landslide Alert System, Slope Stability Monitoring",2005,Using remote sensing and ML for landslide risk detection and early warning.,,
,Emotion Recognition,Application,"Facial Emotion Recognition, Affective Computing, Sentiment Analysis",1997,"Identifying human emotional states from facial, vocal, or physiological signals.",,
,Chatbot,Application,"Conversational AI, Dialogue System, Virtual Assistant, LLM Chatbot",1966,AI system engaging in human-like text or voice dialogue.,,
,Herbal Traceability,Application,"Botanical Traceability, Drug Authentication, Supply Chain Traceability",2010,Blockchain-based tracking of herbal/pharmaceutical products from source to consumer.,,
,Dysgraphia Detection,Application,"Handwriting Disorder Detection, Learning Disability Detection, Handwriting Analysis",2012,Automated identification of dysgraphia through handwriting pattern analysis.,,
,Sports Analytics,Application,"Sports AI, Game Analysis, Player Tracking",2003,Using AI/ML to analyze athlete performance and game events.,,
,Heart Attack Detection,Application,"Myocardial Infarction Detection, Cardiac Event Detection, Neurocardiac Monitoring",1995,Real-time ECG/PPG analysis for early detection of cardiac events.,,
,Supply Chain Optimization,Application,"Supply Chain Management, Logistics Optimization, Inventory Optimization",1985,Using ML/RL to minimize cost and improve efficiency in supply chains.,,
,Academic Project Evaluation,Application,"Project Assessment Tool, Academic Evaluation Support",2010,AI-based system for evaluating and scoring academic project submissions.,,
,Privacy Preserving Machine Learning,Application,"PPML, Privacy-secure AI, Secure ML",2010,"ML techniques that protect individual data privacy (FL, DP, HE).",,
,Video Analytics,Application,"Video Intelligence, Video Surveillance AI, Smart CCTV",2003,"Automated analysis of video streams for events, objects, and behavior.",,
,Edge AI,Application,"On-device AI, Edge Inference, TinyML",2017,Running AI inference at the network edge without cloud roundtrips.,,
,Explainable AI,Application,"XAI, Model Interpretability, AI Transparency",2016,Methods and tools to make ML model decisions understandable to humans.,,
,Blockchain,Technology,"Distributed Ledger, DLT, Web3",2008,Decentralized immutable ledger securing transactions via cryptographic hashing.,,
,Smart Contract,Technology,"Self-executing Contract, Solidity Contract, ERC-20",1994,Self-executing code stored on a blockchain that enforces contract terms.,,
,IPFS,Technology,"InterPlanetary File System, Content Addressing, Filecoin",2014,Peer-to-peer distributed file system using content-addressed storage.,,
,Differential Privacy,Technology,"DP, Epsilon-Delta Privacy, Noise Injection",2006,Mathematical framework guaranteeing individual records cannot be re-identified.,,
,Homomorphic Encryption,Technology,"HE, FHE, Fully Homomorphic Encryption, CKKS, BFV",2009,Encryption scheme allowing computation on ciphertext without decryption.,,
,TensorRT,Technology,"NVIDIA TensorRT, TRT",2017,NVIDIA SDK for high-performance deep learning inference on GPU.,,
,ONNX Runtime,Technology,"ORT, ONNX Inference",2018,High-performance inference engine for ONNX models across hardware backends.,,
,NVIDIA DeepStream,Technology,"DeepStream SDK, DeepStream",2018,NVIDIA SDK for AI-powered video analytics pipelines on Jetson/GPU.,,
,Edge Computing,Technology,"Fog Computing, Multi-access Edge Computing, MEC",2009,Distributed computing paradigm that processes data near the source.,,
,Quantum Computing,Technology,"Quantum Hardware, Qiskit, Cirq, PennyLane",1981,Computing using quantum-mechanical phenomena like superposition and entanglement.,,
,Remote Sensing,Technology,"Satellite Imagery, SAR, Synthetic Aperture Radar, Earth Observation",1960,Acquiring information about the Earth's surface without physical contact.,,
,Wearable Sensor,Technology,"Wearable Device, Biosensor, IoT Sensor, ECG Sensor, PPG Sensor",1998,Body-worn sensor collecting physiological or motion data.,,
,GDPR,Technology,"General Data Protection Regulation, Data Privacy Regulation, CCPA",2016,EU regulation governing personal data protection and privacy.,,
,Secure Aggregation,Technology,"SecAgg, Privacy-preserving Aggregation",2017,Cryptographic protocol aggregating model updates in FL without exposing individuals.,,
,Grafana,Technology,"Grafana Dashboard, Prometheus",2014,Open-source analytics and monitoring visualization platform.,,
,Elasticsearch,Technology,"Elastic Search, ELK Stack, OpenSearch",2010,Distributed search and analytics engine for log and data analysis.,,
,Whisper API,Technology,"OpenAI Whisper API, Speech-to-Text API",2022,Cloud API for automatic speech recognition using OpenAI Whisper model.,,
,Firebase,Technology,"Firebase Realtime DB, Firestore, Firebase Auth",2012,Google's mobile and web application development platform with BaaS features.,,
,MongoDB,Technology,"Mongo, NoSQL Database, Document Database",2009,Document-oriented NoSQL database storing data in flexible JSON-like BSON format.,,
,WebRTC,Technology,"Real-Time Communication, WebSocket, Peer-to-Peer",2011,Browser API enabling real-time audio/video/data peer-to-peer communication.,,
,Coral Edge TPU,Hardware,"Google Coral, Coral Dev Board, Coral USB Accelerator",2019,Google's ASIC for accelerating TensorFlow Lite inference at the edge.,,
,FPGA,Hardware,"Field Programmable Gate Array, Xilinx FPGA, Intel FPGA, Altera",1985,Reconfigurable hardware for custom digital logic acceleration.,,
,Arduino,Hardware,"Arduino Uno, Arduino Nano, Arduino Mega",2005,Open-source microcontroller platform widely used in IoT prototyping.,,
,IMU Sensor,Hardware,"Inertial Measurement Unit, Accelerometer, Gyroscope, MPU-6050",1954,"Sensor measuring acceleration, angular velocity, and magnetic field.",,
,Ultrasonic Sensor,Hardware,"HC-SR04, Sonar Sensor, Proximity Sensor",1940,Sensor using sound waves to measure distance.,,
,Pandas,Library,"pandas, DataFrame, Python Data Analysis",2008,Python library for data manipulation and analysis with DataFrame abstraction.,,
,NumPy,Library,"numpy, np",2006,Python library for numerical computation with multi-dimensional arrays.,,
,Matplotlib,Library,"pyplot, Seaborn, Plotly",2003,Python 2D/3D plotting library for data visualization.,,
,NetworkX,Library,networkx,2004,Python library for creation and analysis of complex networks and graphs.,,
,NLTK,Library,"Natural Language Toolkit, nltk",2001,Python platform for building NLP programs with text corpora.,,
,Dlib,Library,dlib,2009,C++ ML toolkit with Python bindings for face detection and landmark prediction.,,
,Librosa,Library,"librosa, Audio Feature Extraction",2015,Python library for music and audio analysis.,,
,Streamlit,Library,"streamlit, Streamlit App",2019,Python framework for rapidly building interactive ML/data apps.,,
,Gradio,Library,gradio,2019,Python library for building ML demo web interfaces in minutes.,,
,Detectron2,Framework,"Facebook Detectron2, detectron2",2019,Meta's modular object detection and segmentation research platform.,,
,MMDetection,Framework,"mmdet, OpenMMLab",2019,OpenMMLab's detection toolbox supporting 100+ detection algorithms.,,
,Hugging Face PEFT,Framework,"PEFT, LoRA PEFT, Parameter Efficient Fine-Tuning",2023,"Hugging Face library for parameter-efficient fine-tuning (LoRA, IA3, etc.).",,
,PhiUSIIL,Dataset,"Phishing URL Dataset, UCI Phishing Dataset",2012,Benchmark dataset of phishing and legitimate URLs for ML classification.,,
,MNIST,Dataset,"Modified NIST, Handwritten Digits Dataset",1998,"70,000 handwritten digit images widely used for classification benchmarks.",,
,UCF-101,Dataset,"UCF101, Action Recognition Dataset",2012,101-class human action recognition dataset from YouTube videos.,,
,HMDB-51,Dataset,"HMDB51, Human Motion Database",2011,51-class action recognition benchmark from movie/web video clips.,,
,NSL-KDD,Dataset,"NSL KDD, KDD Cup 99 Updated, Network Intrusion Dataset",2009,Benchmark dataset for network intrusion detection research.,,
,UNSW-NB15,Dataset,"UNSW NB15, Cyber Attack Dataset",2015,Network traffic dataset with 9 attack categories for IDS evaluation.,,
,PhysioNet,Dataset,"MIT-BIH, ECG Dataset, PTB-XL, PhysioBank",2000,Repository of physiological signal datasets for biomedical research.,,
,ISIC Dataset,Dataset,"ISIC, Skin Lesion Dataset, Dermoscopy Dataset",2016,International Skin Imaging Collaboration dataset for melanoma classification.,,
,Thyroid Ultrasound Dataset,Dataset,"TN3K, DDTI, Thyroid Dataset",2010,Ultrasound image dataset for thyroid nodule detection/classification.,,
,Open Images,Dataset,"Google Open Images, OID",2016,"Large-scale dataset with 9M images, 600 object classes with bounding boxes.",,
,CIFAR-10,Dataset,"CIFAR10, CIFAR-100",2009,"60,000 32x32 images in 10 object classes for image classification benchmarks.",,
,F1-Score,Metric,"F1, F-Measure, F1 Score, Macro F1, Micro F1",1992,Harmonic mean of precision and recall for classification evaluation.,,
,Accuracy,Metric,"Classification Accuracy, Top-1 Accuracy, Top-5 Accuracy",1955,Proportion of correct predictions to total predictions.,,
,Precision,Metric,"Positive Predictive Value, PPV",1955,Ratio of true positives to all predicted positives.,,
,Recall,Metric,"Sensitivity, True Positive Rate, TPR",1955,Ratio of true positives to all actual positives.,,
,AUC-ROC,Metric,"ROC Curve, AUC, AUROC",1975,Area under the receiver operating characteristic curve.,,
,Mean Average Precision,Metric,"mAP, mAP@50, mAP@0.5:0.95",2006,Average detection accuracy over multiple IoU thresholds used in COCO benchmark.,,
,BLEU Score,Metric,"BLEU, Bilingual Evaluation Understudy",2002,N-gram overlap metric for evaluating machine translation quality.,,
,ROUGE,Metric,"ROUGE-L, ROUGE-1, ROUGE-2",2004,Recall-oriented metric set for automatic summarization evaluation.,,
,Intersection over Union,Metric,"IoU, Jaccard Index, mIoU",1901,Overlap measure between predicted and ground truth bounding boxes/masks.,,
,Mean Squared Error,Metric,"MSE, RMSE, Root Mean Squared Error, MAE",1900,Average squared difference between predictions and actual values.,,
,Perplexity,Metric,"PPL, Language Model Perplexity",1977,Measure of how well a language model predicts a text sample.,,
,FID Score,Metric,"Frechet Inception Distance, FID",2017,Quality metric for generative models comparing feature distributions.,,
,Latency,Metric,"Inference Latency, Response Time, FPS",1950,Time taken for a model to process one input and return an output.,,
,Specificity,Metric,"True Negative Rate, TNR",1955,Proportion of true negatives correctly identified.,,
,Feature Engineering,Algorithm,"Feature Extraction, Feature Selection, URL Feature Extraction",1990,Creating informative input features from raw data for ML models.,,
,URL Classification,Application,"Web URL Analysis, Malicious URL Classification, Blacklist Alternative",2007,Classifying web URLs as benign or malicious using ML features.,,
,Kabaddi Analytics,Application,"Kabaddi AI, Midline Crossing Detection",2020,AI-based player tracking and rule-violation detection in Kabaddi.,,
