Pair_ID,Project_A_ID,Project_B_ID,Project_A_Title,Project_B_Title,Project_A_Abstract,Project_B_Abstract,Project_A_Features,Project_B_Features,Project_A_Keywords,Project_B_Keywords,SBERT_Similarity,TFIDF_Similarity,Cosine_Similarity,Faculty_Label,AI_Label,Similarity_Category,Reviewer_Name,Review_Date,Comments
SB0026,PRJ0004,PRJ0003,Covert Data Hiding using LSB Steganography,Image Steganography Tool for Secure Messaging,This project conceals confidential data within an image so it can be transmitted covertly.,A tool that hides secret text messages inside image files using least-significant-bit encoding.,LSB Encoding; PIL; Encryption Layer,Python PIL; LSB Technique,"data hiding, lsb steganography, covert communication, encryption","steganography, secure messaging, image hiding, encoding",0.781,0.843,0.884,Similar,Similar,Duplicate / Near-Duplicate,Dr. V. Nair,2026-03-07,High overlap in approach and objective — likely a duplicate submission.
SB0027,PRJ0053,PRJ0033,VR-based Virtual Campus Tour Application,Real Estate Property Listing Platform,A VR experience that lets prospective students explore a 3D model of the college campus remotely.,"A website where users can list, search, and filter properties for sale or rent with map integration.",Unity; VR SDK; 3D Modelling,MERN Stack; Google Maps API,"virtual reality, campus tour, unity, immersive","real estate, property listing, maps, search",0.633,0.323,0.406,Partially Similar,Partially Similar,Same-Domain Variant,Dr. V. Nair,2025-08-31,"Some overlap in techniques used, but the objectives differ."
SB0028,PRJ0025,PRJ0083,SQL Injection Detection Tool for Web Forms,Real-time Pollution Level Tracking Device,A tool that inspects form input in real time to detect and block SQL injection attack patterns.,This IoT device continuously tracks air pollutants and displays real-time readings to nearby residents.,Regex Rules; ML Classifier; WAF Layer,Gas Sensors; ESP32; Mobile Alert,"sql injection, web security, detection tool, waf","pollution tracking, real-time, iot device, air monitoring",0.259,0.21,0.039,Different,Different,Cross-Domain Distinct,Prof. L. Fernandes,2025-10-11,Different tech stack and different target use case.
SB0029,PRJ0007,PRJ0018,Automated Crop Watering System with IoT,IoT-based Remote Patient Health Monitoring,This project automates farm irrigation using real-time soil and weather sensor data.,A device that continuously tracks a patient's heart rate and oxygen level and uploads readings to the cloud.,ESP32; DHT11; Cloud Dashboard,Pulse Sensor; ESP32; Cloud Dashboard,"automated watering, iot farming, esp32, sensors","health monitoring, iot, remote patient, vitals",0.573,0.536,0.469,Partially Similar,Partially Similar,Same-Domain Variant,Prof. L. Fernandes,2026-01-02,Same general domain but tackles a different problem.
SB0030,PRJ0020,PRJ0065,Digital Twin Simulation for Factory Production Line,Skin Disease Classification from Images using CNN,A live virtual replica of a factory line used to monitor and simulate production performance in real time.,A deep learning model that classifies skin lesion photographs as benign or potentially malignant.,Unity; Python Simulation; Sensor Feed,CNN; Transfer Learning; Mobile App,"digital twin, factory simulation, unity, monitoring","skin disease, cnn, dermatology, classification",0.317,0.198,0.121,Different,Different,Cross-Domain Distinct,Prof. P. Menon,2026-05-17,Different tech stack and different target use case.
SB0031,PRJ0019,PRJ0021,Real-time Virtual Replica of Industrial Process,IoT-based Garbage Collection Alert System,This project creates a digital twin of an industrial process to test changes virtually before applying them.,A system that monitors bin fill levels city-wide and optimizes garbage truck collection routes.,3D Simulation; Sensor Integration; Dashboard,Sensor Network; Route Optimization; Cloud App,"virtual replica, industrial simulation, digital twin, real-time","garbage collection, iot alert, route optimization, smart city",0.428,0.475,0.61,Partially Similar,Partially Similar,Same-Domain Variant,Prof. M. Reddy,2026-03-09,Partial conceptual overlap; not flagged as duplicate.
SB0032,PRJ0055,PRJ0056,Campus Second-hand Book Marketplace,Peer-to-Peer Used Goods Trading Platform,A platform where students can list and buy/sell used textbooks directly with each other.,This web app allows students to trade used items like books and electronics among themselves.,MERN Stack; In-app Chat,React; Node.js; Messaging Feature,"marketplace, second-hand books, peer-to-peer, campus","peer-to-peer, used goods, trading platform, marketplace",0.946,0.865,0.797,Similar,Similar,Duplicate / Near-Duplicate,Prof. P. Menon,2026-01-04,High overlap in approach and objective — likely a duplicate submission.
SB0033,PRJ0025,PRJ0040,SQL Injection Detection Tool for Web Forms,Phishing URL Detection using Machine Learning,A tool that inspects form input in real time to detect and block SQL injection attack patterns.,A browser tool that classifies URLs as phishing or legitimate using engineered features and a trained classifier.,Regex Rules; ML Classifier; WAF Layer,Random Forest; URL Feature Extraction; Chrome Extension,"sql injection, web security, detection tool, waf","phishing, url classification, machine learning, security",0.55,0.481,0.633,Partially Similar,Similar,Same-Domain Variant,Dr. A. Sharma,2025-08-19,Shares a tech stack but solves a different use case.
SB0034,PRJ0053,PRJ0054,VR-based Virtual Campus Tour Application,Immersive 3D Campus Walkthrough using VR,A VR experience that lets prospective students explore a 3D model of the college campus remotely.,This project provides an immersive walkthrough of a campus using a virtual reality headset.,Unity; VR SDK; 3D Modelling,Unity3D; Oculus SDK; 3D Assets,"virtual reality, campus tour, unity, immersive","immersive vr, campus walkthrough, 3d, virtual tour",0.93,0.806,0.889,Similar,Partially Similar,Duplicate / Near-Duplicate,Prof. S. Iyer,2026-05-06,High overlap in approach and objective — likely a duplicate submission.
SB0035,PRJ0021,PRJ0020,IoT-based Garbage Collection Alert System,Digital Twin Simulation for Factory Production Line,A system that monitors bin fill levels city-wide and optimizes garbage truck collection routes.,A live virtual replica of a factory line used to monitor and simulate production performance in real time.,Sensor Network; Route Optimization; Cloud App,Unity; Python Simulation; Sensor Feed,"garbage collection, iot alert, route optimization, smart city","digital twin, factory simulation, unity, monitoring",0.456,0.427,0.515,Partially Similar,Partially Similar,Same-Domain Variant,Prof. P. Menon,2026-03-31,"Some overlap in techniques used, but the objectives differ."
SB0036,PRJ0044,PRJ0043,College FAQ Chatbot using NLP,AI Assistant for Student Query Resolution,"A rule-based chatbot that answers common student queries about admissions, fees, and courses.",This chatbot uses an LLM to answer open-ended student questions about college processes.,Rasa; Rule Engine; Web Widget,LLM API; RAG; React Widget,"chatbot, faq, nlp, rasa","ai assistant, student queries, llm, chatbot",0.819,0.809,0.805,Similar,Similar,Duplicate / Near-Duplicate,Prof. S. Iyer,2026-06-21,"Same core idea, only the wording and framing differ."
SB0037,PRJ0035,PRJ0096,Distributed Model Training without Data Sharing,Smart Energy Meter Dashboard,This project trains a machine learning model across multiple devices while keeping each device's data local.,This project measures household electricity usage in real time and visualizes consumption trends.,PySyft; Federated Averaging,Current Sensor; ESP32; React Dashboard,"distributed training, federated learning, privacy-preserving, ml","smart energy, electricity monitoring, iot, dashboard",0.218,0.014,0.169,Different,Different,Cross-Domain Distinct,Dr. V. Nair,2025-12-19,No meaningful overlap between the two projects.
SB0038,PRJ0057,PRJ0014,Automated Remote Exam Monitoring Tool,Agricultural Yield Forecasting System,This tool watches webcam feeds during remote exams and flags potential malpractice for review.,"A forecasting tool that estimates farm output based on rainfall, temperature, and soil quality data.",OpenCV; Head Pose Estimation; Flagging System,Linear Regression; Soil Data; Dashboard,"remote exam monitoring, malpractice detection, opencv, proctoring","yield forecasting, agriculture, weather data, ml",0.074,0.087,0.081,Different,Partially Similar,Cross-Domain Distinct,Dr. R. Kumar,2026-03-30,Unrelated problem statements; safe to treat as distinct.
SB0039,PRJ0019,PRJ0080,Real-time Virtual Replica of Industrial Process,Adaptive Traffic Light Management using Computer Vision,This project creates a digital twin of an industrial process to test changes virtually before applying them.,A traffic light system that adapts green-light duration based on live traffic density analysis.,3D Simulation; Sensor Integration; Dashboard,OpenCV; Vehicle Counting; Microcontroller,"virtual replica, industrial simulation, digital twin, real-time","adaptive traffic light, vehicle counting, opencv, management",0.429,0.382,0.46,Partially Similar,Partially Similar,Same-Domain Variant,Dr. A. Sharma,2026-07-20,Shares a tech stack but solves a different use case.
SB0040,PRJ0042,PRJ0041,AI-based Resume Screening and Matching Tool,Automated Candidate-Job Matching System,This tool ranks candidate resumes against a job description using NLP-based keyword and semantic matching.,A system that scores and ranks resumes for a given job posting using text similarity techniques.,spaCy NER; Cosine Similarity; Flask,TF-IDF; BERT Embeddings; Web Dashboard,"resume screening, matching, nlp, hr automation","candidate matching, job matching, resume ranking, nlp",0.846,0.733,0.891,Similar,Partially Similar,Duplicate / Near-Duplicate,Dr. K. Rao,2026-07-22,Essentially the same project with a different title.
SB0041,PRJ0062,PRJ0023,Password Strength and Breach Checker Tool,Anomaly-based Network Threat Detector,A tool that evaluates password strength and checks it against known data-breach databases.,"This project detects abnormal network behaviour that may indicate a cyberattack, using an ML classifier.",Regex Rules; Have I Been Pwned API,Isolation Forest; NetFlow data; Dashboard,"password strength, breach check, security tool, validation","network anomaly, threat detection, cybersecurity, ml",0.542,0.33,0.434,Partially Similar,Partially Similar,Same-Domain Variant,Dr. R. Kumar,2026-02-01,Shares a tech stack but solves a different use case.
SB0042,PRJ0091,PRJ0090,Face Recognition Based Attendance System,Crowdfunding Platform for Student Projects,"An automated system that marks student attendance by recognising faces from a classroom camera feed, removing the need for manual roll calls.",A web platform where students can create fundraising campaigns for their projects and receive contributions online.,OpenCV; face_recognition; SQLite; Python,MERN Stack; Stripe API,"face recognition, attendance, opencv, biometric","crowdfunding, fundraising, student projects, payments",0.285,0.082,0.265,Different,Partially Similar,Cross-Domain Distinct,Prof. P. Menon,2025-12-07,No meaningful overlap between the two projects.
SB0043,PRJ0031,PRJ0049,Pneumonia Detection from Chest X-rays using CNN,Speech Emotion Recognition from Call Center Audio,A deep learning model that classifies chest X-ray images to detect signs of pneumonia.,This project detects the emotional tone of a customer's voice during a support call to flag dissatisfaction.,CNN; Transfer Learning (ResNet); Keras,MFCC Features; CNN-LSTM,"pneumonia detection, chest x-ray, cnn, medical imaging","speech emotion, call center, audio analysis, cnn",0.316,0.234,0.057,Different,Partially Similar,Cross-Domain Distinct,Dr. K. Rao,2026-02-04,No similarity concerns; clearly distinct projects.
SB0044,PRJ0007,PRJ0008,Automated Crop Watering System with IoT,Smart Irrigation System using Soil Moisture Sensors,This project automates farm irrigation using real-time soil and weather sensor data.,An IoT-based system that waters crops automatically when soil moisture drops below a set threshold.,ESP32; DHT11; Cloud Dashboard,Arduino; Soil Moisture Sensor; Relay Pump,"automated watering, iot farming, esp32, sensors","smart irrigation, soil moisture, iot, arduino",0.848,0.736,0.806,Similar,Similar,Duplicate / Near-Duplicate,Dr. V. Nair,2025-10-03,High overlap in approach and objective — likely a duplicate submission.
SB0045,PRJ0007,PRJ0027,Automated Crop Watering System with IoT,Online Job and Internship Portal,This project automates farm irrigation using real-time soil and weather sensor data.,A web platform where students can browse and apply for job/internship listings posted by companies.,ESP32; DHT11; Cloud Dashboard,MERN Stack; JWT Auth; Admin Panel,"automated watering, iot farming, esp32, sensors","job portal, internship, mern, listings",0.085,0.216,0.062,Different,Different,Cross-Domain Distinct,Dr. K. Rao,2026-04-20,Unrelated problem statements; safe to treat as distinct.
SB0046,PRJ0048,PRJ0069,Tamper-proof Digital Voting Platform,Blockchain-based Academic Certificate Verification,This project uses blockchain to ensure votes cast in an election cannot be altered after submission.,A system that issues and verifies degree certificates on a blockchain ledger to prevent forgery.,Solidity; Web3.js; MetaMask Integration,Ethereum; Solidity; IPFS,"digital voting, tamper-proof, blockchain, election","blockchain, certificate verification, ethereum, forgery prevention",0.503,0.468,0.645,Partially Similar,Partially Similar,Same-Domain Variant,Prof. T. Joseph,2026-03-31,Same general domain but tackles a different problem.
SB0047,PRJ0100,PRJ0069,Online Fundraising Web Application,Blockchain-based Academic Certificate Verification,This platform allows individuals to launch fundraising campaigns and accept donations securely online.,A system that issues and verifies degree certificates on a blockchain ledger to prevent forgery.,Django; Payment Gateway; Campaign Dashboard,Ethereum; Solidity; IPFS,"fundraising, campaigns, donations, web application","blockchain, certificate verification, ethereum, forgery prevention",0.097,0.035,0.181,Different,Different,Cross-Domain Distinct,Dr. V. Nair,2025-08-02,Completely different domain and objective.
SB0048,PRJ0007,PRJ0017,Automated Crop Watering System with IoT,Wearable Vitals Tracking System with Cloud Sync,This project automates farm irrigation using real-time soil and weather sensor data.,This wearable tracks vital signs in real time and syncs the data to a cloud dashboard for doctors to view.,ESP32; DHT11; Cloud Dashboard,SpO2 Sensor; ESP32; Firebase,"automated watering, iot farming, esp32, sensors","vitals tracking, wearable, cloud sync, patient monitoring",0.466,0.488,0.638,Partially Similar,Partially Similar,Same-Domain Variant,Dr. R. Kumar,2025-12-12,Partial conceptual overlap; not flagged as duplicate.
SB0049,PRJ0069,PRJ0070,Blockchain-based Academic Certificate Verification,Decentralized Degree Authentication System,A system that issues and verifies degree certificates on a blockchain ledger to prevent forgery.,This project stores certificate hashes on-chain so employers can instantly verify authenticity.,Ethereum; Solidity; IPFS,Solidity Smart Contracts; Web3.js,"blockchain, certificate verification, ethereum, forgery prevention","decentralized verification, degree authentication, smart contract, blockchain",0.825,0.768,0.774,Similar,Partially Similar,Duplicate / Near-Duplicate,Dr. N. Krishnan,2026-02-05,High overlap in approach and objective — likely a duplicate submission.
SB0050,PRJ0067,PRJ0068,Product Review Sentiment Analysis Dashboard,Customer Feedback Sentiment Classifier,"A dashboard that scrapes e-commerce reviews and classifies them as positive, negative, or neutral.",This project analyses customer feedback text to determine overall sentiment trends over time.,VADER; TextBlob; React Dashboard,BERT fine-tuning; Pandas; Chart.js,"sentiment analysis, reviews, nlp, dashboard","feedback analysis, sentiment classification, bert, trends",0.892,0.816,0.768,Similar,Similar,Duplicate / Near-Duplicate,Dr. A. Sharma,2025-08-26,High overlap in approach and objective — likely a duplicate submission.
SB0051,PRJ0058,PRJ0077,AI-based Online Exam Proctoring System,Automated Essay Scoring System using NLP,A system that monitors students during online exams using face and eye-tracking to flag suspicious behaviour.,This tool automatically scores free-text student answers using NLP-based semantic similarity to a model answer.,Face Detection; Eye Tracking; Alert Logging,BERT; Sentence Similarity; Flask,"proctoring, online exam, face detection, monitoring","auto grading, essay scoring, nlp, bert",0.482,0.3,0.475,Partially Similar,Partially Similar,Same-Domain Variant,Prof. S. Iyer,2026-04-26,"Some overlap in techniques used, but the objectives differ."
SB0052,PRJ0067,PRJ0005,Product Review Sentiment Analysis Dashboard,Automatic Audio-to-Text Conversion for Classrooms,"A dashboard that scrapes e-commerce reviews and classifies them as positive, negative, or neutral.",This project transcribes classroom audio recordings into text notes for students to review.,VADER; TextBlob; React Dashboard,Google Speech API; Audio Chunking,"sentiment analysis, reviews, nlp, dashboard","audio transcription, classroom, speech recognition, notes",0.604,0.491,0.479,Partially Similar,Partially Similar,Same-Domain Variant,Dr. V. Nair,2025-11-08,Partial conceptual overlap; not flagged as duplicate.
