Taxonomy_ID,Domain,Sub_Domain,Topic,Parent_Topic,Description,Common_Keywords,Related_Keywords,Technologies,Algorithms,Programming_Languages,Frameworks,Libraries,Hardware,Typical_Datasets,Research_Areas,Application_Areas,Difficulty_Level,Industry,Emerging_Topic,Trend_Level,Related_Domains,Source,Notes
AE-0011,Artificial Intelligence,Cognitive Computing,Human-Level AI Benchmarking,Cognitive Computing,Evaluating AI systems against human performance benchmarks.,"AGI benchmark,cognitive test,human parity,Turing test,ARC challenge","reasoning,comprehension,abstract thinking,language understanding",Python,"Few-shot Learning,Chain-of-Thought Prompting",Python,Hugging Face,"datasets, evaluate",,"ARC,Winogrande,HellaSwag,BIG-Bench,MMLU","Artificial General Intelligence,Cognitive Science","Research Evaluation,AI Capability Assessment",Expert,Research,Yes,High,"NLP,Deep Learning,Generative AI",AcadEval Research Team,
AE-0012,Artificial Intelligence,Evolutionary Computation,Genetic Algorithms,Evolutionary Computation,Optimization algorithms inspired by natural selection and genetics.,"genetic algorithm,fitness function,crossover,mutation,selection,chromosome","evolutionary strategy,population,generation,elitism,genetic programming","Python, MATLAB","Roulette Selection,Tournament Selection,SBX Crossover","Python,MATLAB",,"DEAP, PyGAD, pymoo",,"CEC benchmark functions,BBOB","Metaheuristic Optimization,Combinatorial Optimization","Scheduling,Engineering Design,Feature Selection",Intermediate,"Engineering,Operations",No,Medium,"Machine Learning,Operations Research",AcadEval Research Team,
AE-0013,Artificial Intelligence,Swarm Intelligence,Particle Swarm Optimization,Swarm Intelligence,Population-based optimization inspired by social behavior of birds and fish.,"PSO,swarm,particle,velocity,global best,local best,inertia weight","ant colony,bee algorithm,firefly algorithm,metaheuristic,stigmergy","Python, MATLAB","Standard PSO,APSO,DPSO","Python,MATLAB",,"pyswarms, pymoo",,"CEC benchmark functions,engineering design problems","Swarm Intelligence,Multi-objective Optimization","Neural Network Training,Feature Selection,Robot Path Planning",Intermediate,"Engineering,Research",No,Medium,"Machine Learning,Robotics",AcadEval Research Team,
AE-0014,Artificial Intelligence,AI Safety,Adversarial Robustness,AI Safety,Making AI systems robust against adversarial inputs and distribution shifts.,"adversarial attack,perturbation,robustness,FGSM,PGD,certified defense","adversarial training,randomized smoothing,input purification,backdoor",Python,"FGSM,PGD,CW Attack,AutoAttack,Randomized Smoothing",Python,PyTorch,"advertorch, foolbox, cleverhans",GPU,"MNIST,CIFAR-10,ImageNet adversarial benchmarks","Certified Robustness,Physical Adversarial Examples,Backdoor Defense","Autonomous Driving,Face Recognition,Medical AI",Expert,"Defense,Automotive,Healthcare",Yes,High,"Deep Learning,Cyber Security",AcadEval Research Team,
AE-0015,Machine Learning,Supervised Learning,Classification,Supervised Learning,Predicting discrete class labels from labeled training data.,"classification,label,class,binary,multiclass,decision boundary","logistic regression,naive Bayes,discriminant analysis,one-vs-rest","Python, R","SVM,Random Forest,k-NN,Logistic Regression,XGBoost,LightGBM","Python,R",scikit-learn,"numpy, pandas, imbalanced-learn",,"Iris,MNIST,CIFAR-10,Adult Income,Breast Cancer Wisconsin","Imbalanced Learning,Multi-label Classification,Streaming Classification","Spam Detection,Disease Diagnosis,Sentiment Analysis,Fraud Detection",Beginner,Cross-Industry,No,High,"Deep Learning,Data Science",AcadEval Research Team,
AE-0016,Machine Learning,Supervised Learning,Regression,Supervised Learning,Predicting continuous output values from labeled training data.,"regression,linear regression,prediction,output,continuous,residual","polynomial regression,ridge,lasso,elastic net,Huber loss","Python, R","Linear Regression,Ridge,Lasso,Elastic Net,SVR,Random Forest Regressor","Python,R","scikit-learn,statsmodels","numpy, pandas, scipy",,"Boston Housing,California Housing,Diabetes Dataset","Robust Regression,Non-parametric Regression,Quantile Regression","House Price Prediction,Sales Forecasting,Energy Consumption",Beginner,"Finance,Real Estate,Energy",No,High,"Data Science,Business Analytics",AcadEval Research Team,
AE-0017,Machine Learning,Supervised Learning,Time Series Forecasting,Supervised Learning,Predicting future values in temporal sequences from historical data.,"time series,forecasting,ARIMA,LSTM,temporal,seasonality,trend","autocorrelation,stationarity,lag,rolling window,exponential smoothing","Python, R","ARIMA,SARIMA,Prophet,LSTM,TCN,Transformer,N-BEATS","Python,R","statsmodels,PyTorch","pandas, prophet, darts, sktime",,"M4 Competition,ETT,Exchange Rate,Traffic,Electricity","Anomaly Detection in Time Series,Long-Horizon Forecasting","Financial Forecasting,Demand Planning,Weather,IoT Sensor Data",Intermediate,"Finance,Energy,Retail",No,High,"Deep Learning,Business Analytics,IoT",AcadEval Research Team,
AE-0018,Machine Learning,Unsupervised Learning,Clustering,Unsupervised Learning,Grouping unlabeled data into clusters based on similarity measures.,"clustering,k-means,DBSCAN,centroid,cluster assignment,silhouette","hierarchical clustering,Gaussian mixture,spectral clustering,density","Python, R","k-Means,DBSCAN,HDBSCAN,Agglomerative,GMM,Spectral Clustering","Python,R",scikit-learn,"numpy, pandas, yellowbrick",,"Mall Customer,Wholesale,Iris (unsupervised)","Density-based Clustering,Stream Clustering,Sub-space Clustering","Customer Segmentation,Anomaly Detection,Document Grouping",Beginner,"Retail,Healthcare,Finance",No,High,"Data Science,Deep Learning",AcadEval Research Team,
AE-0019,Machine Learning,Unsupervised Learning,Dimensionality Reduction,Unsupervised Learning,Reducing the number of features while preserving important data structure.,"PCA,t-SNE,UMAP,dimensionality reduction,latent space,manifold","autoencoders,LDA,factor analysis,sparse coding,ICA",Python,"PCA,t-SNE,UMAP,LDA,ICA,Autoencoders",Python,scikit-learn,"umap-learn, openTSNE, numpy",,"MNIST,Fashion-MNIST,Gene Expression datasets","Manifold Learning,Feature Extraction,Visualization","Bioinformatics,Image Compression,NLP Embeddings,Anomaly Detection",Intermediate,"Research,Healthcare,Finance",No,High,"Deep Learning,Bioinformatics",AcadEval Research Team,
AE-0020,Machine Learning,Unsupervised Learning,Anomaly Detection,Unsupervised Learning,Identifying unusual patterns that deviate significantly from expected behavior.,"anomaly detection,outlier,novelty,isolation forest,autoencoder,threshold","point anomaly,contextual anomaly,collective anomaly,one-class SVM",Python,"Isolation Forest,LOF,One-Class SVM,Autoencoder,COPOD",Python,"scikit-learn,PyTorch","pyod, adtk, alibi-detect",,"KDD Cup 1999,CICIDS,MVTec,SWaT","Streaming Anomaly Detection,Explainable Anomaly Detection","Network Intrusion,Manufacturing QC,Fraud Detection,Medical Monitoring",Intermediate,"Cyber Security,Finance,Manufacturing",Yes,High,"Cyber Security,Manufacturing,IoT",AcadEval Research Team,
AE-0021,Machine Learning,Reinforcement Learning,Q-Learning,Reinforcement Learning,Learning optimal action policies through reward-based trial and error interaction.,"Q-learning,reward,policy,state,action,Bellman equation,epsilon-greedy","temporal difference,value function,MDP,exploration,exploitation",Python,"Q-Learning,SARSA,Double Q-Learning,DQN",Python,"OpenAI Gym,Stable-Baselines3","numpy, gymnasium",,"CartPole,Atari Games,FrozenLake","Sample Efficiency,Multi-agent RL,Offline RL","Game AI,Robot Control,Recommendation,Traffic Signal Control",Intermediate,"Gaming,Robotics,Autonomous Systems",No,High,"Deep Learning,Robotics",AcadEval Research Team,
AE-0022,Machine Learning,Reinforcement Learning,Deep Reinforcement Learning,Reinforcement Learning,Combining deep neural networks with RL for complex high-dimensional environments.,"DRL,DQN,PPO,A3C,actor-critic,policy gradient,value network","experience replay,target network,policy optimization,RLHF",Python,"DQN,PPO,A3C,SAC,TD3,DDPG,Rainbow",Python,"Stable-Baselines3,RLlib","gymnasium, torch, tensorboard",GPU,"Atari,MuJoCo,StarCraft II,CARLA","Multi-agent DRL,Offline RL,Model-based RL","Game Playing,Robotic Manipulation,Autonomous Driving",Advanced,"Gaming,Robotics,Finance",Yes,High,"Deep Learning,Robotics,Autonomous Vehicles",AcadEval Research Team,
AE-0023,Machine Learning,Transfer Learning,Fine-tuning Pre-trained Models,Transfer Learning,Adapting pre-trained models to new tasks with minimal labeled data.,"transfer learning,fine-tuning,pre-trained model,domain adaptation,feature extraction","frozen layers,head replacement,learning rate warmup,catastrophic forgetting",Python,"Fine-tuning,Progressive Training,Layer Freezing",Python,"Hugging Face,PyTorch,TensorFlow","transformers, timm",GPU,"ImageNet,GLUE,SuperGLUE","Domain Adaptation,Few-shot Learning,Multi-task Learning","Medical Image Analysis,NLP,Audio Classification",Intermediate,Cross-Industry,No,High,"Deep Learning,Computer Vision,NLP",AcadEval Research Team,
AE-0024,Machine Learning,Federated Learning,Privacy-Preserving ML,Federated Learning,Training ML models across decentralized devices without sharing raw data.,"federated learning,privacy,decentralized,differential privacy,aggregation","FedAvg,client,server,secure aggregation,model poisoning,communication rounds",Python,"FedAvg,FedProx,SCAFFOLD,Ditto",Python,"PySyft,Flower (flwr)","numpy, torch",,"LEAF Benchmark (FEMNIST,Shakespeare),CIFAR-10 partitioned","Communication Efficiency,Byzantine Robustness,Heterogeneous FL","Healthcare Collaboration,Mobile Keyboard,Financial Fraud Detection",Advanced,"Healthcare,Finance,Mobile",Yes,High,"Deep Learning,Cyber Security,Healthcare",AcadEval Research Team,
AE-0025,Machine Learning,AutoML,Neural Architecture Search,AutoML,Automatically discovering optimal neural network architectures for given tasks.,"NAS,AutoML,architecture search,DARTS,hyperparameter,neural network design","proxy task,weight sharing,evolutionary NAS,one-shot model",Python,"DARTS,ENAS,SNAS,Random Search,Bayesian Optimization",Python,PyTorch,"nni, auto-sklearn, autokeras",GPU,"CIFAR-10,ImageNet","Efficient NAS,Hardware-aware NAS,Multi-objective NAS","Edge AI,Mobile Vision,Resource-constrained Deployment",Expert,"Tech,Mobile",Yes,High,"Deep Learning,Computer Vision",AcadEval Research Team,
AE-0026,Machine Learning,Ensemble Methods,Gradient Boosting,Ensemble Methods,Sequential ensemble method that builds models to correct errors of predecessors.,"gradient boosting,XGBoost,LightGBM,CatBoost,decision tree,ensemble","boosting,weak learner,residual,learning rate,tree depth,leaf","Python, R","XGBoost,LightGBM,CatBoost,Gradient Boosting Machine","Python,R",scikit-learn,"xgboost, lightgbm, catboost",,"Kaggle tabular competition datasets,Adult Income,Titanic","Hyperparameter Optimization,Feature Engineering,Tabular Learning","Fraud Detection,Click-through Rate,Medical Prediction,Risk Scoring",Intermediate,"Finance,Retail,Healthcare",No,High,"Data Science,Business Analytics",AcadEval Research Team,
AE-0027,Machine Learning,Ensemble Methods,Random Forest,Ensemble Methods,Ensemble of decision trees using bagging and random feature subspace selection.,"random forest,bagging,decision tree,feature importance,OOB error","bootstrap aggregation,feature sampling,majority voting,pruning","Python, R","Random Forest,Extra Trees,Bagging Classifier","Python,R",scikit-learn,"numpy, pandas",,"Iris,UCI Repository datasets","Feature Selection,Variable Importance,Out-of-bag Estimation","Classification,Regression,Feature Ranking,Medical Diagnosis",Beginner,Cross-Industry,No,High,"Data Science,Machine Learning",AcadEval Research Team,
AE-0028,Machine Learning,Optimization,Bayesian Optimization,Optimization,Probabilistic model-based optimization for expensive black-box functions.,"Bayesian optimization,surrogate model,acquisition function,Gaussian process","EI,UCB,TPE,hyperparameter tuning,black-box optimization",Python,"Gaussian Process Regression,Tree Parzen Estimator,CMA-ES",Python,scikit-learn,"optuna, hyperopt, scikit-optimize, ax",,HPOBench,"AutoML,Neural Architecture Search,Hyperparameter Optimization","Deep Learning Training,Drug Discovery,Materials Science",Advanced,"Research,Tech",Yes,High,"Machine Learning,AutoML",AcadEval Research Team,
AE-0029,Deep Learning,Convolutional Neural Networks,Image Classification,CNNs,Deep learning technique using convolutional layers for visual pattern recognition.,"CNN,image classification,convolutional layer,pooling,feature map,ResNet","VGG,AlexNet,EfficientNet,MobileNet,InceptionNet,backbone",Python,"ResNet,VGG,EfficientNet,MobileNet,DenseNet",Python,"PyTorch,TensorFlow","timm, torchvision, keras",GPU,"ImageNet,CIFAR-10,CIFAR-100,Fashion-MNIST","Model Efficiency,Attention in CNNs,Knowledge Distillation","Image Recognition,Medical Imaging,Industrial QC,Satellite",Beginner,Cross-Industry,No,High,"Computer Vision,Transfer Learning",AcadEval Research Team,
AE-0030,Deep Learning,Convolutional Neural Networks,Object Detection,CNNs,Detecting and localizing objects in images using deep CNNs.,"object detection,bounding box,anchor,IoU,NMS,YOLO,SSD,Faster RCNN","two-stage detector,single-stage detector,feature pyramid,anchor-free",Python,"YOLO,SSD,Faster R-CNN,RetinaNet,DETR,RT-DETR",Python,"PyTorch,TensorFlow","ultralytics, detectron2, mmdetection",GPU,"COCO,Pascal VOC,Open Images,VisDrone","Real-time Detection,Small Object Detection,3D Object Detection","Autonomous Driving,Surveillance,Retail Analytics,Drone Vision",Intermediate,"Automotive,Security,Retail",No,High,"Computer Vision,Autonomous Vehicles",AcadEval Research Team,
AE-0031,Deep Learning,Recurrent Neural Networks,Sequence Modeling,RNNs,Neural networks designed for sequential data with hidden state memory.,"RNN,LSTM,GRU,sequence,hidden state,vanishing gradient,time step","bidirectional RNN,encoder-decoder,attention mechanism,seq2seq",Python,"LSTM,GRU,Bidirectional LSTM,Multi-layer RNN",Python,"PyTorch,TensorFlow","numpy, torch",GPU,"PTB,Wikitext-2,IMDb,Time series datasets","Long-range Dependencies,Gradient Flow,Sequence Classification","Language Modeling,Speech Recognition,Sentiment Analysis",Intermediate,"Tech,Media,Finance",No,Medium,"NLP,Signal Processing",AcadEval Research Team,
AE-0032,Deep Learning,Transformers,Self-Attention Mechanisms,Transformers,Attention-based neural architecture enabling parallel sequence processing.,"transformer,self-attention,multi-head attention,positional encoding,BERT,GPT","encoder,decoder,cross-attention,feed-forward,layer normalization,token",Python,"Multi-head Attention,Scaled Dot-Product Attention,Flash Attention",Python,"Hugging Face,PyTorch","transformers, einops, xformers",GPU/TPU,"GLUE,SuperGLUE,SQuAD,WMT,ImageNet","Long-context Modeling,Efficient Transformers,Vision Transformers","NLP Tasks,Image Classification,Audio Processing,Code Generation",Advanced,"Tech,Research",No,High,"NLP,Computer Vision,Generative AI",AcadEval Research Team,
AE-0033,Deep Learning,Graph Neural Networks,Graph Classification,GNNs,Neural networks operating on graph-structured data for various prediction tasks.,"GNN,graph convolution,message passing,node embedding,graph classification","GCN,GAT,GraphSAGE,molecular graph,heterogeneous graph",Python,"GCN,GAT,GraphSAGE,GIN,Graph Transformer",Python,"PyTorch Geometric,DGL","networkx, stellargraph",GPU,"Cora,Citeseer,Ogbn-arxiv,MUTAG,TU Datasets","Graph Representation Learning,Dynamic Graphs,Scalable GNNs","Drug Discovery,Social Network Analysis,Recommendation,Fraud Detection",Advanced,"Healthcare,Finance,Research",Yes,High,"Machine Learning,Bioinformatics",AcadEval Research Team,
AE-0034,Deep Learning,Generative Models,Generative Adversarial Networks,Generative Models,Adversarial training framework with generator and discriminator for data synthesis.,"GAN,generator,discriminator,adversarial training,mode collapse,latent vector","DCGAN,StyleGAN,CycleGAN,conditional GAN,image-to-image translation",Python,"DCGAN,StyleGAN2,ProGAN,BigGAN,Pix2Pix,CycleGAN",Python,"PyTorch,TensorFlow",torchvision,GPU,"CelebA,LSUN,FFHQ,ImageNet,CIFAR-10","Training Stability,Mode Collapse,Evaluation Metrics (FID)","Image Synthesis,Data Augmentation,Video Generation,Drug Design",Advanced,"Media,Healthcare,Research",No,High,"Computer Vision,Generative AI",AcadEval Research Team,
AE-0035,Deep Learning,Self-Supervised Learning,Contrastive Learning,Self-Supervised Learning,Learning representations by contrasting similar and dissimilar sample pairs.,"contrastive learning,SimCLR,MoCo,representation learning,augmentation,positive pair","NT-Xent loss,InfoNCE,momentum encoder,negative sampling",Python,"SimCLR,MoCo,BYOL,SimSiam,DINO",Python,PyTorch,"lightly, torch",GPU,"ImageNet,STL-10,CIFAR-10 (unlabeled)","Self-supervised Representation,Multi-modal Contrastive Learning","Medical Image Analysis,NLP Pre-training,Speech Representation",Advanced,"Research,Healthcare",Yes,High,"Computer Vision,NLP,Transfer Learning",AcadEval Research Team,
AE-0036,Deep Learning,Model Compression,Knowledge Distillation,Model Compression,Training compact student models to mimic larger teacher model outputs.,"knowledge distillation,teacher,student,soft labels,temperature,compression","feature distillation,response distillation,self-distillation,pruning",Python,"Response Distillation,Feature Distillation,Online Distillation",Python,"PyTorch,TensorFlow","torch, transformers",GPU,"ImageNet,CIFAR-10,GLUE","Efficient Deep Learning,Model Compression,Edge Inference","Mobile Deployment,Edge AI,IoT,Real-time Systems",Advanced,"Tech,Mobile,Automotive",Yes,High,"Edge AI,Embedded Systems,IoT",AcadEval Research Team,
AE-0037,Deep Learning,Model Compression,Neural Network Pruning,Model Compression,Removing redundant weights or neurons to reduce model size and inference cost.,"pruning,sparsity,weight pruning,structured pruning,lottery ticket","magnitude pruning,filter pruning,dynamic sparsity,unstructured pruning",Python,"Magnitude Pruning,L1-norm Pruning,Taylor Expansion Pruning",Python,PyTorch,"torch.nn.utils.prune, neural-compressor",GPU,"ImageNet,CIFAR,BERT benchmark","Hardware-aware Pruning,Dynamic Sparse Training","Mobile Inference,Edge Devices,Model Deployment",Advanced,"Tech,Mobile",Yes,High,"Edge AI,Embedded Systems",AcadEval Research Team,
AE-0038,Deep Learning,Neural Architecture Search,DARTS,Neural Architecture Search,Differentiable architecture search enabling gradient-based optimization of network topology.,"DARTS,differentiable NAS,architecture search,supernet,weight sharing,continuous relaxation","one-shot NAS,operations,skip connections,cell,genotype",Python,"DARTS,PC-DARTS,SNAS,FairDARTS",Python,PyTorch,torch,GPU,"CIFAR-10,ImageNet","Training-free NAS,Multi-objective NAS,Edge-aware NAS","Mobile Vision,Edge Deployment,Efficient Inference",Expert,Tech,Yes,High,"Machine Learning,Computer Vision",AcadEval Research Team,
AE-0039,Computer Vision,Face Analysis,Face Recognition,Face Analysis,Identifying or verifying persons from facial features using deep learning.,"face recognition,face embedding,verification,identification,FaceNet,ArcFace","face detection,alignment,LBPH,eigenfaces,Siamese network",Python,"FaceNet,ArcFace,CosFace,AdaFace,LBPH,Eigenfaces",Python,"PyTorch,TensorFlow","face_recognition, deepface, opencv-python",,"LFW,MS-Celeb-1M,CASIA-WebFace,VGGFace2","Occlusion-robust Recognition,Cross-age Recognition,Privacy-preserving FR","Attendance Systems,Security,Mobile Unlock,Law Enforcement",Intermediate,"Security,HR Tech,Mobile",No,High,"Deep Learning,Cyber Security",AcadEval Research Team,
AE-0040,Computer Vision,Face Analysis,Facial Expression Recognition,Face Analysis,Classifying emotional states from facial muscle movements and expressions.,"facial expression,emotion recognition,AU,action unit,FER,valence","micro-expression,affect recognition,FACS,landmark,face mesh",Python,"CNN,ResNet,Graph-based Models,Transformer",Python,"PyTorch,TensorFlow","opencv-python, mediapipe",,"AffectNet,RAF-DB,FER2013,SFEW","Spontaneous vs Posed,Occlusion,Cross-cultural Affect","Customer Experience,Mental Health,HCI,Automotive Driver Monitoring",Intermediate,"Healthcare,Automotive,HCI",Yes,High,"Deep Learning,HCI,Healthcare",AcadEval Research Team,
AE-0041,Computer Vision,Image Segmentation,Semantic Segmentation,Image Segmentation,Assigning class labels to every pixel in an image.,"semantic segmentation,pixel-wise,FCN,U-Net,DeepLab,class label","scene parsing,panoptic segmentation,encoder-decoder,dilated convolution",Python,"FCN,U-Net,DeepLabV3+,SegFormer,Mask2Former",Python,"PyTorch,TensorFlow","torchvision, mmsegmentation",GPU,"ADE20K,Cityscapes,Pascal VOC,COCO","Few-shot Segmentation,Real-time Segmentation,3D Segmentation","Autonomous Driving,Medical Imaging,Satellite Analysis,Robotics",Advanced,"Automotive,Healthcare,Agriculture",No,High,"Deep Learning,Autonomous Vehicles",AcadEval Research Team,
AE-0042,Computer Vision,Image Segmentation,Instance Segmentation,Image Segmentation,Detecting and delineating each distinct object instance at pixel level.,"instance segmentation,mask,Mask R-CNN,YOLACT,instance mask","panoptic segmentation,object mask,pixel mask,contour",Python,"Mask R-CNN,YOLACT,SOLOv2,CondInst,QueryInst",Python,PyTorch,"detectron2, mmdetection",GPU,"COCO,Cityscapes,LiTS,NuCLS","Real-time Instance Segmentation,Video Instance Segmentation","Medical Image Analysis,Robotics,Autonomous Driving",Advanced,"Healthcare,Automotive,Security",No,High,"Deep Learning,Autonomous Vehicles",AcadEval Research Team,
AE-0043,Computer Vision,Pose Estimation,Human Pose Estimation,Pose Estimation,Detecting and tracking human body keypoints for pose analysis.,"pose estimation,keypoint,skeleton,OpenPose,body landmark,joint","top-down,bottom-up,heatmap,PAF,part affinity field",Python,"OpenPose,HRNet,ViTPose,MediaPipe BlazePose",Python,PyTorch,"mmpose, mediapipe",GPU,"COCO-WholeBody,MPII,LSP,PoseTrack","3D Pose Estimation,Multi-person Pose,Video Pose Tracking","Sports Analytics,Healthcare Rehabilitation,Dance,HCI,Gaming",Intermediate,"Healthcare,Sports,Gaming",Yes,High,"Deep Learning,HCI,Healthcare",AcadEval Research Team,
AE-0044,Computer Vision,Optical Character Recognition,Scene Text Recognition,OCR,Detecting and recognizing text in natural scene images.,"OCR,scene text,text detection,recognition,CRNN,attention,CTC","document analysis,handwriting recognition,license plate,CRAFT,DBNet",Python,"CRNN,ASTER,TrOCR,ABINet,DBNet,CRAFT",Python,PyTorch,"easyocr, pytesseract, paddleocr",,"IIIT5K,SVT,TextVQA,COCO-Text","End-to-end Text Spotting,Multilingual OCR","Document Digitization,License Plate,Receipt Parsing,Sign Reading",Intermediate,"Logistics,Legal,Retail,Banking",No,High,"NLP,Deep Learning",AcadEval Research Team,
