Project_ID,Title,Abstract,Domain,Sub_Domain,Keywords,Objectives,Problem_Statement,Methodology,Modules,Technologies,Algorithms,Dataset_Used,Programming_Languages,Frameworks,Tools,Hardware,Expected_Output,GitHub_Link,Paper_Link,Authors,Institution,Year,Source,Publication_Type,Faculty_Label,Notes
AE011,Whisper,"Whisper is an open-source project focused on speech recognition. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Speech Recognition,"Speech Recognition, Encoder-decoder Transformer, PyTorch, FFmpeg","Develop and evaluate a reliable speech recognition solution that can be reproduced, extended and integrated into real applications.","Existing speech recognition solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Large multilingual audio-text corpus; preprocess the inputs; apply Encoder-decoder Transformer; train, configure or execute the system using PyTorch, FFmpeg; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"PyTorch, FFmpeg",Encoder-decoder Transformer,Large multilingual audio-text corpus,Python,PyTorch,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working speech recognition system with reproducible results, documented configuration and measurable output.",https://github.com/openai/whisper,https://arxiv.org/abs/2212.04356,Whisper contributors,OpenAI,2022,https://github.com/openai/whisper,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE012,CLIP,"CLIP is an open-source project focused on vision-language learning. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Vision-Language Learning,"Vision-Language Learning, Contrastive learning, PyTorch","Develop and evaluate a reliable vision-language learning solution that can be reproduced, extended and integrated into real applications.","Existing vision-language learning solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Web image-text pairs; preprocess the inputs; apply Contrastive learning; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,PyTorch,Contrastive learning,Web image-text pairs,Python,PyTorch,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working vision-language learning system with reproducible results, documented configuration and measurable output.",https://github.com/openai/CLIP,https://arxiv.org/abs/2103.00020,CLIP contributors,OpenAI,2021,https://github.com/openai/CLIP,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE013,OpenAI Evals,"OpenAI Evals is an open-source project focused on llm evaluation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,LLM Evaluation,"LLM Evaluation, Benchmark-driven evaluation, Python","Develop and evaluate a reliable llm evaluation solution that can be reproduced, extended and integrated into real applications.","Existing llm evaluation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Public and custom evaluation sets; preprocess the inputs; apply Benchmark-driven evaluation; train, configure or execute the system using Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,Python,Benchmark-driven evaluation,Public and custom evaluation sets,Python,Python,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working llm evaluation system with reproducible results, documented configuration and measurable output.",https://github.com/openai/evals,,OpenAI Evals contributors,OpenAI,2023,https://github.com/openai/evals,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE014,LangChain,"LangChain is an open-source project focused on llm application framework. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,LLM Application Framework,"LLM Application Framework, Retrieval, agent orchestration, Python, TypeScript","Develop and evaluate a reliable llm application framework solution that can be reproduced, extended and integrated into real applications.","Existing llm application framework solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load User-provided documents and APIs; preprocess the inputs; apply Retrieval and agent orchestration; train, configure or execute the system using Python, TypeScript; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Python, TypeScript",Retrieval and agent orchestration,User-provided documents and APIs,"Python, TypeScript",Python,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working llm application framework system with reproducible results, documented configuration and measurable output.",https://github.com/langchain-ai/langchain,,LangChain contributors,LangChain,2022,https://github.com/langchain-ai/langchain,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE015,LlamaIndex,"LlamaIndex is an open-source project focused on retrieval-augmented generation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Retrieval-Augmented Generation,"Retrieval-Augmented Generation, Vector retrieval, indexing, Python, TypeScript","Develop and evaluate a reliable retrieval-augmented generation solution that can be reproduced, extended and integrated into real applications.","Existing retrieval-augmented generation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load User documents and knowledge bases; preprocess the inputs; apply Vector retrieval and indexing; train, configure or execute the system using Python, TypeScript; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Python, TypeScript",Vector retrieval and indexing,User documents and knowledge bases,"Python, TypeScript",Python,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working retrieval-augmented generation system with reproducible results, documented configuration and measurable output.",https://github.com/run-llama/llama_index,,LlamaIndex contributors,LlamaIndex,2022,https://github.com/run-llama/llama_index,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE016,Haystack,"Haystack is an open-source project focused on question answering and rag. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Question Answering and RAG,"Question Answering, RAG, Retriever-reader pipelines, Python","Develop and evaluate a reliable question answering and rag solution that can be reproduced, extended and integrated into real applications.","Existing question answering and rag solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Document collections; preprocess the inputs; apply Retriever-reader pipelines; train, configure or execute the system using Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,Python,Retriever-reader pipelines,Document collections,Python,Python,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working question answering and rag system with reproducible results, documented configuration and measurable output.",https://github.com/deepset-ai/haystack,,Haystack contributors,deepset,2019,https://github.com/deepset-ai/haystack,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE017,Rasa,"Rasa is an open-source project focused on conversational ai. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Conversational AI,"Conversational AI, Intent classification, dialogue policies, Python","Develop and evaluate a reliable conversational ai solution that can be reproduced, extended and integrated into real applications.","Existing conversational ai solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Conversational training data; preprocess the inputs; apply Intent classification and dialogue policies; train, configure or execute the system using Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,Python,Intent classification and dialogue policies,Conversational training data,Python,Python,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working conversational ai system with reproducible results, documented configuration and measurable output.",https://github.com/RasaHQ/rasa,,Rasa contributors,Rasa,2016,https://github.com/RasaHQ/rasa,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE018,FastChat,"FastChat is an open-source project focused on llm serving and evaluation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,LLM Serving and Evaluation,"LLM Serving, Evaluation, Distributed serving, pairwise evaluation, PyTorch","Develop and evaluate a reliable llm serving and evaluation solution that can be reproduced, extended and integrated into real applications.","Existing llm serving and evaluation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Chat prompts and benchmark sets; preprocess the inputs; apply Distributed serving and pairwise evaluation; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,PyTorch,Distributed serving and pairwise evaluation,Chat prompts and benchmark sets,Python,PyTorch,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working llm serving and evaluation system with reproducible results, documented configuration and measurable output.",https://github.com/lm-sys/FastChat,https://arxiv.org/abs/2306.05685,FastChat contributors,LMSYS,2023,https://github.com/lm-sys/FastChat,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE019,vLLM,"vLLM is an open-source project focused on llm inference. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,LLM Inference,"LLM Inference, PagedAttention, PyTorch, CUDA","Develop and evaluate a reliable llm inference solution that can be reproduced, extended and integrated into real applications.","Existing llm inference solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load LLM prompts and token streams; preprocess the inputs; apply PagedAttention; train, configure or execute the system using PyTorch, CUDA; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"PyTorch, CUDA",PagedAttention,LLM prompts and token streams,"Python, C++",PyTorch,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working llm inference system with reproducible results, documented configuration and measurable output.",https://github.com/vllm-project/vllm,https://arxiv.org/abs/2309.06180,vLLM contributors,UC Berkeley,2023,https://github.com/vllm-project/vllm,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE020,llama.cpp,"llama.cpp is an open-source project focused on edge llm inference. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Edge LLM Inference,"Edge LLM Inference, Quantized transformer inference, C/C++","Develop and evaluate a reliable edge llm inference solution that can be reproduced, extended and integrated into real applications.","Existing edge llm inference solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Model weights and prompts; preprocess the inputs; apply Quantized transformer inference; train, configure or execute the system using C/C++; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,C/C++,Quantized transformer inference,Model weights and prompts,"C, C++",C/C++,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working edge llm inference system with reproducible results, documented configuration and measurable output.",https://github.com/ggml-org/llama.cpp,,llama.cpp contributors,ggml community,2023,https://github.com/ggml-org/llama.cpp,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE021,Detectron2,"Detectron2 is an open-source project focused on computer vision. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Computer Vision,"Computer Vision, Faster R-CNN, Mask R-CNN, RetinaNet, PyTorch, CUDA","Develop and evaluate a reliable computer vision solution that can be reproduced, extended and integrated into real applications.","Existing computer vision solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load COCO, LVIS, Cityscapes; preprocess the inputs; apply Faster R-CNN, Mask R-CNN, RetinaNet; train, configure or execute the system using PyTorch, CUDA; and evaluate the outputs with task-appropriate metrics.",image ingestion; preprocessing; model inference; visualization; evaluation,"PyTorch, CUDA","Faster R-CNN, Mask R-CNN, RetinaNet","COCO, LVIS, Cityscapes","Python, C++",PyTorch,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working computer vision system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/detectron2,https://arxiv.org/abs/1906.01570,Detectron2 contributors,Meta AI Research,2019,https://github.com/facebookresearch/detectron2,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE022,Segment Anything,"Segment Anything is an open-source project focused on image segmentation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Image Segmentation,"Image Segmentation, Vision Transformer, mask decoder, PyTorch","Develop and evaluate a reliable image segmentation solution that can be reproduced, extended and integrated into real applications.","Existing image segmentation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load SA-1B; preprocess the inputs; apply Vision Transformer and mask decoder; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,PyTorch,Vision Transformer and mask decoder,SA-1B,Python,PyTorch,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working image segmentation system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/segment-anything,https://arxiv.org/abs/2304.02643,Segment Anything contributors,Meta AI Research,2023,https://github.com/facebookresearch/segment-anything,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE023,SAM 2,"SAM 2 is an open-source project focused on video segmentation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Video Segmentation,"Video Segmentation, Promptable video segmentation, PyTorch","Develop and evaluate a reliable video segmentation solution that can be reproduced, extended and integrated into real applications.","Existing video segmentation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load SA-V and video datasets; preprocess the inputs; apply Promptable video segmentation; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,PyTorch,Promptable video segmentation,SA-V and video datasets,Python,PyTorch,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working video segmentation system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/sam2,https://arxiv.org/abs/2408.00714,SAM 2 contributors,Meta AI Research,2024,https://github.com/facebookresearch/sam2,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE024,DINO,"DINO is an open-source project focused on self-supervised vision. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Self-Supervised Vision,"Self-Supervised Vision, Self-distillation, PyTorch","Develop and evaluate a reliable self-supervised vision solution that can be reproduced, extended and integrated into real applications.","Existing self-supervised vision solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load ImageNet and DAVIS; preprocess the inputs; apply Self-distillation; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,PyTorch,Self-distillation,ImageNet and DAVIS,Python,PyTorch,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working self-supervised vision system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/dino,https://arxiv.org/abs/2104.14294,DINO contributors,Meta AI Research,2021,https://github.com/facebookresearch/dino,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
AE025,DINOv2,"DINOv2 is an open-source project focused on self-supervised vision. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",Artificial Intelligence,Self-Supervised Vision,"Self-Supervised Vision, Teacher-student self-distillation, PyTorch, xFormers","Develop and evaluate a reliable self-supervised vision solution that can be reproduced, extended and integrated into real applications.","Existing self-supervised vision solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load LVD-142M; preprocess the inputs; apply Teacher-student self-distillation; train, configure or execute the system using PyTorch, xFormers; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"PyTorch, xFormers",Teacher-student self-distillation,LVD-142M,Python,PyTorch,"Git, command line, package manager, testing and documentation tools",CPU supported; CUDA-capable GPU recommended for model training,"A working self-supervised vision system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/dinov2,https://arxiv.org/abs/2304.07193,DINOv2 contributors,Meta AI Research,2023,https://github.com/facebookresearch/dinov2,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
