Project_ID,Title,Abstract,Domain,Sub_Domain,Keywords,Objectives,Problem_Statement,Methodology,Modules,Technologies,Algorithms,Dataset_Used,Programming_Languages,Frameworks,Tools,Hardware,Expected_Output,GitHub_Link,Paper_Link,Authors,Institution,Year,Source,Publication_Type,Faculty_Label,Notes
P000011,Whisper,"Whisper is an open-source project focused on speech recognition. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Speech Recognition, Encoder-decoder Transformer, PyTorch, FFmpeg","Develop and evaluate a reliable speech recognition solution that can be reproduced, extended and integrated into real applications.","Existing speech recognition solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Large multilingual audio-text corpus; preprocess the inputs; apply Encoder-decoder Transformer; train, configure or execute the system using PyTorch, FFmpeg; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FFmpeg, Git, PyTorch, Python",Encoder-decoder Transformer,Large multilingual audio-text corpus,Python,PyTorch,Git,,"A working speech recognition system with reproducible results, documented configuration and measurable output.",https://github.com/openai/whisper,https://arxiv.org/abs/2212.04356,Whisper contributors,OpenAI,2022,https://github.com/openai/whisper,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000012,CLIP,"CLIP is an open-source project focused on vision-language learning. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Vision-Language Learning, Contrastive learning, PyTorch","Develop and evaluate a reliable vision-language learning solution that can be reproduced, extended and integrated into real applications.","Existing vision-language learning solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Web image-text pairs; preprocess the inputs; apply Contrastive learning; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python",Contrastive learning,Web image-text pairs,Python,PyTorch,Git,,"A working vision-language learning system with reproducible results, documented configuration and measurable output.",https://github.com/openai/CLIP,https://arxiv.org/abs/2103.00020,CLIP contributors,OpenAI,2021,https://github.com/openai/CLIP,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000013,OpenAI Evals,"OpenAI Evals is an open-source project focused on llm evaluation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Generative AI,"LLM Evaluation, Benchmark-driven evaluation, Python","Develop and evaluate a reliable llm evaluation solution that can be reproduced, extended and integrated into real applications.","Existing llm evaluation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Public and custom evaluation sets; preprocess the inputs; apply Benchmark-driven evaluation; train, configure or execute the system using Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, Python, TensorFlow",Benchmark-driven evaluation,Public and custom evaluation sets,Python,TensorFlow,Git,,"A working llm evaluation system with reproducible results, documented configuration and measurable output.",https://github.com/openai/evals,,OpenAI Evals contributors,OpenAI,2023,https://github.com/openai/evals,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000014,LangChain,"LangChain is an open-source project focused on llm application framework. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Generative AI,"LLM Application Framework, Retrieval, agent orchestration, Python, TypeScript","Develop and evaluate a reliable llm application framework solution that can be reproduced, extended and integrated into real applications.","Existing llm application framework solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load User-provided documents and APIs; preprocess the inputs; apply Retrieval and agent orchestration; train, configure or execute the system using Python, TypeScript; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Python, TypeScript",Retrieval and agent orchestration,User-provided documents and APIs,"Python, TypeScript",FastAPI,Git,,"A working llm application framework system with reproducible results, documented configuration and measurable output.",https://github.com/langchain-ai/langchain,,LangChain contributors,LangChain,2022,https://github.com/langchain-ai/langchain,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000015,LlamaIndex,"LlamaIndex is an open-source project focused on retrieval-augmented generation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Retrieval-Augmented Generation, Vector retrieval, indexing, Python, TypeScript","Develop and evaluate a reliable retrieval-augmented generation solution that can be reproduced, extended and integrated into real applications.","Existing retrieval-augmented generation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load User documents and knowledge bases; preprocess the inputs; apply Vector retrieval and indexing; train, configure or execute the system using Python, TypeScript; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Python, TypeScript",Vector retrieval and indexing,User documents and knowledge bases,"Python, TypeScript",FastAPI,Git,,"A working retrieval-augmented generation system with reproducible results, documented configuration and measurable output.",https://github.com/run-llama/llama_index,,LlamaIndex contributors,LlamaIndex,2022,https://github.com/run-llama/llama_index,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000016,Haystack,"Haystack is an open-source project focused on question answering and rag. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Question Answering, RAG, Retriever-reader pipelines, Python","Develop and evaluate a reliable question answering and rag solution that can be reproduced, extended and integrated into real applications.","Existing question answering and rag solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Document collections; preprocess the inputs; apply Retriever-reader pipelines; train, configure or execute the system using Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Python",Retriever-reader pipelines,Document collections,Python,FastAPI,Git,,"A working question answering and rag system with reproducible results, documented configuration and measurable output.",https://github.com/deepset-ai/haystack,,Haystack contributors,deepset,2019,https://github.com/deepset-ai/haystack,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000017,Rasa,"Rasa is an open-source project focused on conversational ai. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Conversational AI, Intent classification, dialogue policies, Python","Develop and evaluate a reliable conversational ai solution that can be reproduced, extended and integrated into real applications.","Existing conversational ai solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Conversational training data; preprocess the inputs; apply Intent classification and dialogue policies; train, configure or execute the system using Python; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"FastAPI, Git, Python",Intent classification and dialogue policies,Conversational training data,Python,FastAPI,Git,,"A working conversational ai system with reproducible results, documented configuration and measurable output.",https://github.com/RasaHQ/rasa,,Rasa contributors,Rasa,2016,https://github.com/RasaHQ/rasa,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000018,FastChat,"FastChat is an open-source project focused on llm serving and evaluation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Generative AI,"LLM Serving, Evaluation, Distributed serving, pairwise evaluation, PyTorch","Develop and evaluate a reliable llm serving and evaluation solution that can be reproduced, extended and integrated into real applications.","Existing llm serving and evaluation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Chat prompts and benchmark sets; preprocess the inputs; apply Distributed serving and pairwise evaluation; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python",Distributed serving and pairwise evaluation,Chat prompts and benchmark sets,Python,PyTorch,Git,,"A working llm serving and evaluation system with reproducible results, documented configuration and measurable output.",https://github.com/lm-sys/FastChat,https://arxiv.org/abs/2306.05685,FastChat contributors,LMSYS,2023,https://github.com/lm-sys/FastChat,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000019,vLLM,"vLLM is an open-source project focused on llm inference. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Generative AI,"LLM Inference, PagedAttention, PyTorch, CUDA","Develop and evaluate a reliable llm inference solution that can be reproduced, extended and integrated into real applications.","Existing llm inference solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load LLM prompts and token streams; preprocess the inputs; apply PagedAttention; train, configure or execute the system using PyTorch, CUDA; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"CUDA, Git, PyTorch, Python",PagedAttention,LLM prompts and token streams,Python,PyTorch,Git,,"A working llm inference system with reproducible results, documented configuration and measurable output.",https://github.com/vllm-project/vllm,https://arxiv.org/abs/2309.06180,vLLM contributors,UC Berkeley,2023,https://github.com/vllm-project/vllm,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000020,llama.cpp,"llama.cpp is an open-source project focused on edge llm inference. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Generative AI,"Edge LLM Inference, Quantized transformer inference, C/C++","Develop and evaluate a reliable edge llm inference solution that can be reproduced, extended and integrated into real applications.","Existing edge llm inference solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load Model weights and prompts; preprocess the inputs; apply Quantized transformer inference; train, configure or execute the system using C/C++; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"C, C++, FastAPI, Git, Python",Quantized transformer inference,Model weights and prompts,Python,FastAPI,Git,,"A working edge llm inference system with reproducible results, documented configuration and measurable output.",https://github.com/ggml-org/llama.cpp,,llama.cpp contributors,ggml community,2023,https://github.com/ggml-org/llama.cpp,Open-source software project,Very Good,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000021,Detectron2,"Detectron2 is an open-source project focused on computer vision. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Computer Vision, Faster R-CNN, Mask R-CNN, RetinaNet, PyTorch, CUDA","Develop and evaluate a reliable computer vision solution that can be reproduced, extended and integrated into real applications.","Existing computer vision solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load COCO, LVIS, Cityscapes; preprocess the inputs; apply Faster R-CNN, Mask R-CNN, RetinaNet; train, configure or execute the system using PyTorch, CUDA; and evaluate the outputs with task-appropriate metrics.",image ingestion; preprocessing; model inference; visualization; evaluation,"CUDA, Git, PyTorch, Python","Faster R-CNN, Mask R-CNN, RetinaNet","COCO, LVIS, Cityscapes",Python,PyTorch,Git,,"A working computer vision system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/detectron2,https://arxiv.org/abs/1906.01570,Detectron2 contributors,Meta AI Research,2019,https://github.com/facebookresearch/detectron2,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000022,Segment Anything,"Segment Anything is an open-source project focused on image segmentation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Image Segmentation, Vision Transformer, mask decoder, PyTorch","Develop and evaluate a reliable image segmentation solution that can be reproduced, extended and integrated into real applications.","Existing image segmentation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load SA-1B; preprocess the inputs; apply Vision Transformer and mask decoder; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python",Vision Transformer and mask decoder,SA-1B,Python,PyTorch,Git,,"A working image segmentation system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/segment-anything,https://arxiv.org/abs/2304.02643,Segment Anything contributors,Meta AI Research,2023,https://github.com/facebookresearch/segment-anything,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000023,SAM 2,"SAM 2 is an open-source project focused on video segmentation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Video Segmentation, Promptable video segmentation, PyTorch","Develop and evaluate a reliable video segmentation solution that can be reproduced, extended and integrated into real applications.","Existing video segmentation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load SA-V and video datasets; preprocess the inputs; apply Promptable video segmentation; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python",Promptable video segmentation,SA-V and video datasets,Python,PyTorch,Git,,"A working video segmentation system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/sam2,https://arxiv.org/abs/2408.00714,SAM 2 contributors,Meta AI Research,2024,https://github.com/facebookresearch/sam2,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000024,DINO,"DINO is an open-source project focused on self-supervised vision. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Self-Supervised Vision, Self-distillation, PyTorch","Develop and evaluate a reliable self-supervised vision solution that can be reproduced, extended and integrated into real applications.","Existing self-supervised vision solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load ImageNet and DAVIS; preprocess the inputs; apply Self-distillation; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python",Self-distillation,ImageNet and DAVIS,Python,PyTorch,Git,,"A working self-supervised vision system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/dino,https://arxiv.org/abs/2104.14294,DINO contributors,Meta AI Research,2021,https://github.com/facebookresearch/dino,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000025,DINOv2,"DINOv2 is an open-source project focused on self-supervised vision. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Self-Supervised Vision, Teacher-student self-distillation, PyTorch, xFormers","Develop and evaluate a reliable self-supervised vision solution that can be reproduced, extended and integrated into real applications.","Existing self-supervised vision solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load LVD-142M; preprocess the inputs; apply Teacher-student self-distillation; train, configure or execute the system using PyTorch, xFormers; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python, xFormers",Teacher-student self-distillation,LVD-142M,Python,PyTorch,Git,,"A working self-supervised vision system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/dinov2,https://arxiv.org/abs/2304.07193,DINOv2 contributors,Meta AI Research,2023,https://github.com/facebookresearch/dinov2,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000026,DETR,"DETR is an open-source project focused on object detection. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Object Detection, Detection Transformer, PyTorch","Develop and evaluate a reliable object detection solution that can be reproduced, extended and integrated into real applications.","Existing object detection solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load COCO; preprocess the inputs; apply Detection Transformer; train, configure or execute the system using PyTorch; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Git, PyTorch, Python",Detection Transformer,COCO,Python,PyTorch,Git,,"A working object detection system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/detr,https://arxiv.org/abs/2005.12872,DETR contributors,Meta AI Research,2020,https://github.com/facebookresearch/detr,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
P000027,Mask2Former,"Mask2Former is an open-source project focused on universal image segmentation. It provides reusable components, reference implementations and workflows for practical or research-oriented use.",AI,Machine Learning,"Universal Image Segmentation, Masked attention Transformer, PyTorch, Detectron2","Develop and evaluate a reliable universal image segmentation solution that can be reproduced, extended and integrated into real applications.","Existing universal image segmentation solutions may be difficult to reproduce, scale, configure or deploy consistently across different environments.","Collect or load ADE20K, Cityscapes, COCO; preprocess the inputs; apply Masked attention Transformer; train, configure or execute the system using PyTorch, Detectron2; and evaluate the outputs with task-appropriate metrics.",data input; preprocessing; core engine; evaluation; output interface,"Detectron2, Git, PyTorch, Python",Masked attention Transformer,"ADE20K, Cityscapes, COCO",Python,PyTorch,Git,,"A working universal image segmentation system with reproducible results, documented configuration and measurable output.",https://github.com/facebookresearch/Mask2Former,https://arxiv.org/abs/2112.01527,Mask2Former contributors,Meta AI Research,2021,https://github.com/facebookresearch/Mask2Former,Research paper with official code,Excellent,GitHub repository is real. Core technical fields are curated from project documentation or associated publications. Narrative fields are project-aligned inferences and should be verified before being treated as quoted facts.
